Sample	Unique_kmers
F_chrysotus	192813036
F_olivaceous	146401065
F_zebrinus	125420337
F_heteroclitusMDPP	233149064
F_heteroclitusMDPL	220122131
F_sciadicus	108783211
F_rathbuni	188664561
F_diaphanus	157163913
L_goodei	167827088
F_catanatus	198347597
L_parva	185921394
F_similis	188301769
F_parvapinis	148065183
F_grandis	301047217
A_xenica	163706957
F_notatus	182354234
F_notti	74597887
