A_xenica_NA_FW_2_R2	5667.0	3800.5	1866.0	1710.5	1517.0	1306.0	1206.0	1214.0	1225.5	1202.5	1192.5	1256.0	1332.5	1418.0	1477.5	1567.0	1829.0	2133.0	2614.0	3439.0	4432.0	5838.0	8105.5	11130.0	14696.0	18978.5	24022.5	30031.5	37031.0	44656.5	52758.0	62218.5	72329.0	82715.0	92071.5	101391.0	111020.5	119980.0	128971.0	138767.5	149276.0	158124.0	167149.5	179456.0	193579.0	203573.5	215198.0	230271.0	245792.0	260117.0	271926.5	284253.0	296367.5	305114.5	307537.5	306634.0	303158.0	295749.5	280685.5	258784.5	231376.5	204282.5	181514.0	159343.0	137940.0	116520.0	96915.0	80336.0	65914.5	52436.0	40476.0	30726.0	23135.5	17991.0	14391.0	11620.0	9024.5	6751.5	5091.0	3676.0	2654.5	1950.5	1686.5	1534.0	1046.5	589.5	368.0	253.0	190.0	143.5	98.5	71.5	58.5	44.5	36.0	28.5	20.0	15.5	13.5	10.0	5.0
A_xenica_NA_FW_3_R1	1999.0	1684.5	1255.0	1106.5	897.5	667.5	647.5	698.5	775.0	899.0	999.0	1153.0	1325.5	1476.5	1683.0	2046.5	2415.0	2929.0	3778.5	4940.5	6683.0	8870.0	12382.5	16996.5	22365.5	29107.0	37257.0	47001.0	57988.5	69267.0	81921.0	97266.5	112702.0	129132.0	144239.0	157735.0	172093.5	186561.0	201224.5	218557.0	236068.5	248768.5	261986.5	281627.0	304089.5	319422.0	336057.5	359419.5	384458.0	404990.0	422430.0	441300.0	459579.0	473404.0	477047.5	474222.5	467907.0	455160.0	431272.5	397005.5	353447.5	312047.0	277128.5	242873.0	210009.0	177216.0	146956.0	121119.0	100252.5	80570.5	61242.5	45833.0	34302.0	26641.5	21688.0	17682.0	13452.5	10076.5	7553.5	5229.0	3875.0	2996.0	2836.0	2776.0	1698.0	773.5	452.5	327.0	263.5	173.0	116.5	99.0	75.5	59.0	41.0	26.5	23.0	13.0	7.5	6.0	3.0
A_xenica_NA_FW_3_R2	7695.0	5371.0	2863.5	2591.0	2198.5	1766.5	1553.5	1481.5	1510.0	1586.0	1632.0	1709.0	1847.0	1927.5	2050.0	2355.0	2667.0	3024.0	3675.0	4740.5	6455.0	8643.0	11871.0	16339.0	21717.5	28302.5	36245.5	46003.5	56210.5	67084.5	79528.5	94243.0	109790.0	126534.5	141090.5	153819.0	169138.5	184123.0	198307.0	215686.0	233207.5	246180.0	259300.5	278524.0	300111.0	314905.5	331782.0	355379.0	380626.0	401091.5	419428.0	438458.0	456974.0	471248.0	474764.0	471886.5	466742.0	455492.5	431766.5	398259.0	356513.5	315761.5	280824.5	247420.5	214442.5	181730.5	152246.5	126607.5	105333.5	84623.0	65029.0	49605.5	37599.0	29352.5	23502.5	19312.5	15241.0	11561.5	8868.0	6429.5	4704.0	3550.5	3206.0	3087.5	2073.0	1091.5	678.5	466.5	343.0	268.5	200.5	142.5	109.0	83.5	62.5	45.5	37.5	31.0	26.0	22.0	12.0
A_xenica_NA_transfer_1_R1	435.0	310.5	170.0	155.5	169.0	198.5	223.0	248.0	283.0	320.5	366.5	428.5	482.5	557.0	657.0	809.0	1070.5	1390.5	1952.0	2906.0	4218.5	5951.5	8536.5	11811.0	16138.0	21773.0	28312.0	36027.0	44968.0	54376.0	64475.5	76257.5	89039.5	102918.0	115038.5	126606.5	139437.5	152828.0	165958.0	180186.0	191679.0	201077.5	213056.5	229070.5	247005.0	258931.0	269618.5	280850.0	295479.5	311651.5	322369.5	334702.0	347949.5	353157.0	350120.5	345141.5	337355.0	322764.5	302802.0	279367.5	250006.5	219303.0	192618.5	166465.5	142268.0	119586.5	98554.0	80599.5	65273.5	52164.0	40123.5	30348.5	23224.0	17924.5	14687.0	12149.5	9215.5	6695.0	4801.0	3357.5	2670.0	2173.0	1952.0	1855.0	1233.0	611.5	413.0	300.0	203.0	137.5	87.5	61.0	47.5	41.0	30.5	19.0	12.5	7.5	5.0	3.5	0.5
A_xenica_NA_transfer_1_R2	3026.0	1952.5	830.0	776.0	761.5	729.5	708.5	715.0	717.0	722.5	766.5	856.0	915.0	953.0	1028.5	1152.0	1377.5	1699.0	2191.0	3064.5	4397.5	5991.0	8475.5	11770.0	15781.0	20972.0	27288.5	35157.0	43875.0	52764.5	62679.5	74460.0	86819.0	100078.5	112765.0	124695.0	136526.0	148961.5	162208.0	177501.5	188499.5	197975.5	210276.5	224722.5	243797.5	256185.0	265924.5	276619.0	290900.5	307566.5	318358.5	330180.0	343131.5	349472.5	348059.0	343781.0	336691.0	323465.0	304459.0	281796.0	253388.5	223988.5	197710.5	171583.0	147582.0	125030.5	104248.0	86213.5	70470.0	56690.5	44112.0	33853.0	26262.5	20370.5	16496.0	13826.5	10857.0	8066.0	5830.5	4082.5	3185.0	2543.5	2244.0	2062.5	1431.5	810.0	526.0	347.0	244.0	186.0	132.0	96.0	63.0	37.5	35.0	27.5	21.5	17.0	10.0	6.5	4.0
A_xenica_NA_transfer_2_R1	19662.0	13047.0	5523.0	4399.5	4035.0	3783.5	3730.0	3763.0	3755.0	3785.0	3829.0	3951.5	4047.0	4108.0	4303.5	4555.0	4951.0	5671.5	6788.0	8386.5	11017.0	14665.5	20045.0	27365.0	36635.5	48032.5	61760.5	78092.0	95896.5	115226.0	136000.5	159970.0	186371.5	212949.5	236640.5	258195.5	280772.0	305614.0	327922.5	350745.0	372828.5	390390.5	410841.5	439796.0	469836.0	490216.0	511492.5	537438.5	569342.0	597285.5	614115.0	634181.5	653964.0	658748.0	653805.5	643399.0	623572.5	594443.0	551827.5	501857.5	444169.0	386842.5	337535.5	289276.0	244472.5	203752.0	167265.5	135548.5	108947.5	85625.5	64781.5	48033.5	36221.5	28414.5	22770.0	17943.5	13167.0	9468.5	7048.5	4818.5	3401.0	2592.5	2384.0	2172.0	1364.5	735.5	451.5	284.0	192.5	145.0	111.0	81.0	53.5	38.0	27.5	21.5	15.0	6.5	3.0	2.0	1.0
A_xenica_NA_transfer_2_R2	25595.0	15881.0	5471.0	4698.0	4455.5	4135.0	3902.0	3788.0	3771.5	3803.0	3849.0	3794.0	3793.5	3929.5	4085.5	4380.0	4802.5	5399.0	6392.5	7978.0	10443.0	14065.0	19307.0	26220.0	35291.5	46316.5	59474.5	75587.0	93122.5	111974.5	132125.5	156051.0	182260.0	208516.5	232733.5	254153.0	276242.0	301051.5	322495.5	344702.5	366917.5	384600.0	405113.0	433030.0	464128.5	484726.0	504718.5	530321.5	562285.5	591384.5	608488.5	627152.0	648129.0	655958.0	650971.0	641460.5	624275.0	598059.5	558166.0	509082.5	452644.0	396812.5	347409.0	299277.5	254806.0	213765.5	176802.5	144438.0	117193.0	92899.0	71431.0	54124.5	41011.0	31892.5	25410.0	20239.5	15171.5	11248.5	8579.5	5964.0	4162.5	3057.5	2563.0	2315.0	1590.0	923.0	608.0	390.0	253.0	173.0	127.5	78.5	48.0	37.5	24.5	14.5	11.0	9.5	6.5	4.0	2.5
A_xenica_NA_transfer_3_R1	2002.0	1615.5	1228.0	1211.0	1017.5	762.5	712.5	777.0	814.0	903.5	1025.5	1145.0	1284.0	1485.5	1792.0	2064.5	2390.0	2883.5	3729.5	4899.0	6382.0	8451.5	11426.5	15456.5	20618.5	27090.5	34537.5	43187.5	53307.0	63951.0	76098.5	90000.0	103765.5	118369.5	132353.0	146655.0	161438.0	175220.0	188833.5	205617.5	222107.0	235049.5	248949.0	266464.0	287675.0	303978.5	321281.0	345531.5	371545.5	392977.0	409803.5	430126.5	452200.0	467692.5	471487.0	469041.0	464762.0	454117.5	433080.5	401449.5	358197.5	316676.0	283157.5	250471.0	216943.5	182783.5	151744.0	124797.0	102284.5	80860.0	61436.0	45969.5	33993.0	26521.5	21606.5	17223.5	12810.5	9571.5	6962.0	4771.5	3590.5	2780.0	2586.5	2396.0	1492.5	742.5	485.5	325.0	221.5	173.0	130.5	92.0	70.0	60.0	55.0	39.0	20.5	12.5	10.5	5.0	2.0
A_xenica_NA_transfer_3_R2	10531.0	7109.5	3512.0	3184.5	2716.5	2218.0	1994.5	1923.5	1911.0	1907.0	1931.0	2051.5	2156.0	2279.0	2405.5	2596.0	2911.5	3352.0	4107.5	5155.5	6547.5	8414.0	11049.5	14932.5	19783.0	25886.5	33400.5	42091.5	51723.0	61985.0	73257.0	86771.5	100815.0	115212.0	129084.0	142798.5	157317.0	171030.5	184642.5	201103.5	217431.0	230976.0	245035.0	262981.0	284310.5	299550.0	316346.0	340264.0	366881.5	388640.5	405258.0	425967.0	447100.0	463526.0	469964.5	468399.5	463965.0	454078.0	433935.5	402562.5	361485.5	321067.0	287517.0	255250.5	222394.5	189356.5	158092.5	130675.5	107730.0	85818.0	65548.5	49699.5	37769.0	29504.5	23728.0	19093.5	14631.5	11147.5	8354.0	5951.5	4368.5	3280.5	2884.0	2679.0	1860.5	1022.5	616.5	447.0	334.0	227.5	167.5	125.0	94.0	65.0	52.0	39.5	29.0	29.5	21.0	16.0	10.0
F_catanatus_NA_BW_1_R1	8746.0	5905.5	2638.5	2202.0	2115.0	2076.0	2080.5	2054.5	2080.5	2122.0	2161.5	2164.0	2199.5	2284.5	2343.5	2386.0	2503.5	2839.5	3428.5	4265.5	5489.5	7244.5	9856.5	13273.5	17771.5	23571.5	30109.5	37794.5	47297.0	58129.0	69754.5	82605.5	95688.5	107051.5	117953.0	127950.0	135908.5	144446.5	153414.5	162895.5	170601.5	177729.5	186618.0	199115.5	217350.5	238244.5	252841.5	258228.5	263995.5	270227.0	278228.5	293288.5	305692.5	312490.0	309602.5	301097.0	291290.0	276404.5	261574.0	236873.5	208235.5	181342.5	157461.0	135980.0	112913.0	95656.0	83891.5	73639.5	64973.0	52509.5	39822.5	30089.0	22661.0	19915.5	21651.5	23495.0	19094.0	13698.0	9638.0	7489.0	7390.5	8912.0	10069.0	8781.0	5798.5	3238.5	1984.0	1414.0	983.0	761.0	689.0	580.5	504.0	434.5	298.5	253.5	203.0	123.0	86.0	56.0	31.0
