Sample	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0
A_xenica_NA_BW_1_R1	650527.0	211057.0	112512.0	82645.0	75933.0	77837.0	83447.0	90431.0	96121.0	101474.0	105306.0	108828.0	109070.0	107395.0	105817.0	103166.0	100226.0	99082.0	98684.0	103212.0	114980.0	135571.0	166517.0	206044.0	251495.0	305678.0	364724.0	430754.0	513975.0	619079.0	761760.0	973239.0	1309147.0	1874584.0	2826790.0	3538560.0	2195650.0	292074.0	184.0
A_xenica_NA_BW_1_R2	1067899.0	154331.0	101943.0	83008.0	80422.0	83874.0	91972.0	99522.0	104592.0	107567.0	105464.0	103504.0	103955.0	104418.0	104577.0	103418.0	102602.0	103718.0	106351.0	112805.0	126050.0	147564.0	179393.0	218525.0	262473.0	310362.0	363303.0	426505.0	503993.0	607389.0	747089.0	946562.0	1248937.0	1748621.0	2644163.0	3415560.0	2245125.0	335720.0	299.0
A_xenica_NA_BW_2_R1	488501.0	150847.0	75474.0	55565.0	55804.0	55889.0	56795.0	60207.0	64901.0	68456.0	70517.0	73231.0	74247.0	74992.0	74907.0	73245.0	71276.0	68858.0	68464.0	68966.0	75010.0	87698.0	104931.0	131919.0	168766.0	224565.0	283816.0	295195.0	352652.0	413401.0	475334.0	618912.0	856042.0	1255575.0	1991501.0	2787985.0	2100883.0	383797.0	450.0
A_xenica_NA_BW_2_R2	780052.0	108615.0	73499.0	59600.0	59437.0	57942.0	60390.0	65038.0	70040.0	71583.0	69155.0	68229.0	68480.0	69985.0	71083.0	69490.0	69645.0	70235.0	71429.0	75869.0	83595.0	97344.0	116006.0	139392.0	165571.0	195011.0	230788.0	273352.0	322554.0	393909.0	488740.0	629494.0	849418.0	1231015.0	1933619.0	2707164.0	2090919.0	401378.0	509.0
A_xenica_NA_BW_3_R1	416540.0	149460.0	77134.0	61032.0	61377.0	59182.0	58845.0	63220.0	69159.0	72498.0	74176.0	76941.0	78388.0	79231.0	78370.0	76498.0	75128.0	73277.0	73135.0	75445.0	83010.0	95942.0	116420.0	142811.0	174802.0	213190.0	260107.0	305633.0	368147.0	449902.0	563310.0	735867.0	1025585.0	1554794.0	2692884.0	4275755.0	3583268.0	709970.0	878.0
A_xenica_NA_BW_3_R2	652280.0	99510.0	66266.0	58439.0	61952.0	60115.0	62589.0	66245.0	71192.0	73675.0	72191.0	72175.0	72459.0	74171.0	75766.0	74796.0	73995.0	75272.0	77416.0	82621.0	91817.0	106493.0	128291.0	154625.0	185606.0	219475.0	262418.0	313825.0	380119.0	469188.0	594693.0	778716.0	1085494.0	1630304.0	2714694.0	4066823.0	3312116.0	682499.0	990.0
A_xenica_NA_FW_1_R1	350044.0	119313.0	68340.0	55101.0	54903.0	53459.0	55412.0	61494.0	67639.0	72843.0	76613.0	79637.0	81656.0	82083.0	81000.0	79505.0	77584.0	76215.0	76704.0	80289.0	89484.0	104582.0	128557.0	158706.0	196162.0	238761.0	289037.0	344038.0	415985.0	507184.0	629821.0	813763.0	1101989.0	1579026.0	2371336.0	3068834.0	2145376.0	356485.0	463.0
A_xenica_NA_FW_1_R2	748423.0	112721.0	76569.0	65689.0	67449.0	67235.0	71490.0	78279.0	84477.0	89075.0	86756.0	86702.0	88552.0	90409.0	91165.0	91456.0	90447.0	90778.0	93119.0	97757.0	108060.0	125100.0	150068.0	181665.0	218850.0	258317.0	302647.0	355809.0	422114.0	507854.0	624996.0	791160.0	1043285.0	1449752.0	2145445.0	2811209.0	2051626.0	372396.0	522.0
A_xenica_NA_FW_2_R1	170025.0	54848.0	29599.0	22879.0	23348.0	24365.0	24617.0	27550.0	29974.0	31560.0	31343.0	32475.0	33092.0	33421.0	32919.0	32446.0	32225.0	31285.0	31318.0	32288.0	36144.0	42048.0	50314.0	63348.0	82931.0	115576.0	145898.0	153838.0	188370.0	222243.0	263830.0	352868.0	500388.0	735946.0	1164547.0	1537957.0	1030625.0	161669.0	193.0
A_xenica_NA_FW_2_R2	341115.0	51059.0	35372.0	29273.0	28848.0	29660.0	31291.0	34043.0	37112.0	37698.0	36242.0	35576.0	35260.0	35921.0	36022.0	35834.0	36285.0	36979.0	38329.0	40795.0	45495.0	52580.0	62506.0	75506.0	90333.0	106605.0	127411.0	151708.0	183102.0	224261.0	282132.0	366126.0	500144.0	718083.0	1104073.0	1410095.0	937100.0	150192.0	144.0
A_xenica_NA_FW_3_R1	199995.0	70152.0	38282.0	31145.0	31549.0	32448.0	32058.0	35951.0	40598.0	42033.0	40895.0	41781.0	41750.0	41431.0	41490.0	41303.0	40784.0	40140.0	39866.0	42230.0	48220.0	56509.0	67280.0	81588.0	101036.0	125663.0	155129.0	184968.0	226405.0	283770.0	360682.0	481555.0	692305.0	1056890.0	1825249.0	2711939.0	1996526.0	337860.0	448.0
