Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
F_heteroclitus_MDPL_BW_1_R2	27.27272727272727	16523320.0	48.0	100.0
F_heteroclitus_MDPL_BW_2_R1	18.181818181818183	11072740.0	50.0	100.0
F_heteroclitus_MDPL_BW_2_R2	36.36363636363637	11072740.0	50.0	100.0
F_heteroclitus_MDPL_BW_3_R1	18.181818181818183	3650639.0	51.0	100.0
F_heteroclitus_MDPL_BW_3_R2	18.181818181818183	3650639.0	51.0	100.0
F_heteroclitus_MDPL_FW_1_R1	27.27272727272727	14147458.0	48.0	100.0
F_heteroclitus_MDPL_FW_1_R2	36.36363636363637	14147458.0	48.0	100.0
F_heteroclitus_MDPL_FW_2_R1	18.181818181818183	9115151.0	50.0	100.0
F_heteroclitus_MDPL_FW_2_R2	27.27272727272727	9115151.0	50.0	100.0
F_heteroclitus_MDPL_FW_3_R1	27.27272727272727	21321342.0	51.0	100.0
F_heteroclitus_MDPL_FW_3_R2	27.27272727272727	21321342.0	51.0	100.0
F_heteroclitus_MDPL_transfer_1_R1	27.27272727272727	18365745.0	48.0	100.0
F_heteroclitus_MDPL_transfer_1_R2	27.27272727272727	18365745.0	48.0	100.0
F_heteroclitus_MDPL_transfer_2_R1	27.27272727272727	20535903.0	47.0	100.0
F_heteroclitus_MDPL_transfer_2_R2	27.27272727272727	20535903.0	47.0	100.0
F_heteroclitus_MDPL_transfer_3_R1	27.27272727272727	45805608.0	49.0	100.0
F_heteroclitus_MDPL_transfer_3_R2	27.27272727272727	45805608.0	49.0	100.0
F_heteroclitus_MDPP_BW_1_R1	45.45454545454545	19773376.0	49.0	100.0
F_heteroclitus_MDPP_BW_1_R2	54.54545454545454	19773376.0	49.0	100.0
F_heteroclitus_MDPP_BW_2_R1	27.27272727272727	20456175.0	49.0	100.0
F_heteroclitus_MDPP_BW_2_R2	36.36363636363637	20456175.0	49.0	100.0
F_heteroclitus_MDPP_BW_3_R1	18.181818181818183	11950841.0	49.0	100.0
F_heteroclitus_MDPP_BW_3_R2	18.181818181818183	11950841.0	49.0	100.0
F_heteroclitus_MDPP_FW_1_R1	36.36363636363637	19393473.0	47.0	100.0
F_heteroclitus_MDPP_FW_1_R2	45.45454545454545	19393473.0	47.0	100.0
F_heteroclitus_MDPP_FW_2_R1	18.181818181818183	10865487.0	48.0	100.0
F_heteroclitus_MDPP_FW_2_R2	18.181818181818183	10865487.0	48.0	100.0
F_heteroclitus_MDPP_FW_3_R1	27.27272727272727	17375266.0	50.0	100.0
F_heteroclitus_MDPP_FW_3_R2	18.181818181818183	17375266.0	50.0	100.0
F_heteroclitus_MDPP_transfer_1_R1	27.27272727272727	9436924.0	46.0	100.0
F_heteroclitus_MDPP_transfer_1_R2	36.36363636363637	9436924.0	46.0	100.0
F_heteroclitus_MDPP_transfer_2_R1	18.181818181818183	14218511.0	49.0	100.0
F_heteroclitus_MDPP_transfer_2_R2	18.181818181818183	14218511.0	49.0	100.0
F_heteroclitus_MDPP_transfer_3_R1	18.181818181818183	15065332.0	48.0	100.0
F_heteroclitus_MDPP_transfer_3_R2	18.181818181818183	15065332.0	49.0	100.0
F_notatus_NA_BW_1_R1	27.27272727272727	32171453.0	49.0	100.0
F_notatus_NA_BW_1_R2	36.36363636363637	32171453.0	49.0	100.0
F_notatus_NA_BW_2_R1	18.181818181818183	10558419.0	49.0	100.0
F_notatus_NA_BW_2_R2	18.181818181818183	10558419.0	49.0	100.0
F_notatus_NA_BW_3_R1	27.27272727272727	32548515.0	49.0	100.0
F_notatus_NA_BW_3_R2	27.27272727272727	32548515.0	49.0	100.0
F_notatus_NA_FW_1_R1	18.181818181818183	9002231.0	49.0	100.0
F_notatus_NA_FW_1_R2	27.27272727272727	9002231.0	49.0	100.0
F_notatus_NA_FW_2_R1	18.181818181818183	12113660.0	48.0	100.0
F_notatus_NA_FW_2_R2	18.181818181818183	12113660.0	49.0	100.0
F_notatus_NA_FW_3_R1	45.45454545454545	18730504.0	48.0	100.0
F_notatus_NA_FW_3_R2	45.45454545454545	18730504.0	48.0	100.0
F_notatus_NA_transfer_1_R1	27.27272727272727	33631288.0	49.0	100.0
F_notatus_NA_transfer_1_R2	36.36363636363637	33631288.0	49.0	100.0
F_notatus_NA_transfer_2_R1	18.181818181818183	12337870.0	48.0	100.0
F_notatus_NA_transfer_2_R2	18.181818181818183	12337870.0	49.0	100.0
F_notatus_NA_transfer_3_R1	27.27272727272727	14443443.0	48.0	100.0
F_notatus_NA_transfer_3_R2	27.27272727272727	14443443.0	48.0	100.0
F_notti_NA_FW_1_R1	18.181818181818183	11289585.0	48.0	100.0
F_notti_NA_FW_1_R2	18.181818181818183	11289585.0	48.0	100.0
F_notti_NA_FW_2_R1	27.27272727272727	12058909.0	49.0	100.0
F_notti_NA_FW_2_R2	36.36363636363637	12058909.0	49.0	100.0
F_olivaceous_NA_BW_1_R1	18.181818181818183	11737649.0	48.0	100.0
F_olivaceous_NA_BW_1_R2	36.36363636363637	11737649.0	48.0	100.0
F_olivaceous_NA_BW_2_R1	18.181818181818183	20204987.0	48.0	100.0
F_olivaceous_NA_BW_2_R2	27.27272727272727	20204987.0	48.0	100.0
F_olivaceous_NA_BW_3_R1	27.27272727272727	18180511.0	47.0	100.0
F_olivaceous_NA_BW_3_R2	36.36363636363637	18180511.0	48.0	100.0
F_olivaceous_NA_FW_1_R1	27.27272727272727	14335813.0	49.0	100.0
F_olivaceous_NA_FW_1_R2	36.36363636363637	14335813.0	49.0	100.0
F_olivaceous_NA_FW_2_R1	18.181818181818183	9787700.0	49.0	100.0
F_olivaceous_NA_FW_2_R2	27.27272727272727	9787700.0	49.0	100.0
F_olivaceous_NA_FW_3_R1	18.181818181818183	8896418.0	49.0	100.0
F_olivaceous_NA_FW_3_R2	18.181818181818183	8896418.0	49.0	100.0
F_olivaceous_NA_transfer_1_R1	18.181818181818183	11437097.0	48.0	100.0
F_olivaceous_NA_transfer_1_R2	27.27272727272727	11437097.0	48.0	100.0
F_olivaceous_NA_transfer_2_R1	18.181818181818183	6853982.0	49.0	100.0
F_olivaceous_NA_transfer_2_R2	36.36363636363637	6853982.0	49.0	100.0
F_parvapinis_NA_BW_1_R1	27.27272727272727	6373998.0	47.0	100.0
F_parvapinis_NA_BW_1_R2	36.36363636363637	6373998.0	47.0	100.0
F_parvapinis_NA_BW_2_R1	18.181818181818183	7691355.0	49.0	100.0
F_parvapinis_NA_BW_2_R2	27.27272727272727	7691355.0	49.0	100.0
F_parvapinis_NA_BW_3_R1	27.27272727272727	7360385.0	48.0	100.0
F_parvapinis_NA_BW_3_R2	27.27272727272727	7360385.0	49.0	100.0
F_parvapinis_NA_FW_1_R1	45.45454545454545	9554576.0	46.0	100.0
F_parvapinis_NA_FW_1_R2	45.45454545454545	9554576.0	46.0	100.0
F_parvapinis_NA_FW_2_R1	18.181818181818183	7862298.0	49.0	100.0
F_parvapinis_NA_FW_2_R2	18.181818181818183	7862298.0	49.0	100.0
F_parvapinis_NA_FW_3_R1	36.36363636363637	8074759.0	49.0	100.0
F_parvapinis_NA_FW_3_R2	27.27272727272727	8074759.0	49.0	100.0
F_parvapinis_NA_transfer_1_R1	54.54545454545454	27260921.0	43.0	100.0
F_parvapinis_NA_transfer_1_R2	63.63636363636363	27260921.0	43.0	100.0
F_parvapinis_NA_transfer_2_R1	18.181818181818183	18412525.0	47.0	100.0
F_parvapinis_NA_transfer_2_R2	18.181818181818183	18412525.0	48.0	100.0
F_rathbuni_NA_BW_1_R1	27.27272727272727	13514086.0	48.0	100.0
F_rathbuni_NA_BW_1_R2	36.36363636363637	13514086.0	48.0	100.0
F_rathbuni_NA_BW_2_R1	36.36363636363637	11031365.0	47.0	100.0
F_rathbuni_NA_BW_2_R2	36.36363636363637	11031365.0	47.0	100.0
F_rathbuni_NA_BW_3_R1	18.181818181818183	12687300.0	49.0	100.0
F_rathbuni_NA_BW_3_R2	18.181818181818183	12687300.0	49.0	100.0
F_rathbuni_NA_FW_1_R1	27.27272727272727	15690887.0	48.0	100.0
F_rathbuni_NA_FW_1_R2	36.36363636363637	15690887.0	48.0	100.0
F_rathbuni_NA_FW_2_R1	27.27272727272727	52821614.0	48.0	100.0
F_rathbuni_NA_FW_2_R2	27.27272727272727	52821614.0	48.0	100.0
F_rathbuni_NA_FW_3_R1	27.27272727272727	15786079.0	48.0	100.0
F_rathbuni_NA_FW_3_R2	18.181818181818183	15786079.0	48.0	100.0
F_rathbuni_NA_transfer_1_R1	36.36363636363637	23947361.0	48.0	100.0
F_rathbuni_NA_transfer_1_R2	45.45454545454545	23947361.0	48.0	100.0
F_rathbuni_NA_transfer_2_R1	18.181818181818183	11543974.0	49.0	100.0
F_rathbuni_NA_transfer_2_R2	18.181818181818183	11543974.0	49.0	100.0
F_rathbuni_NA_transfer_3_R1	27.27272727272727	18098773.0	49.0	100.0
F_rathbuni_NA_transfer_3_R2	27.27272727272727	18098773.0	49.0	100.0
F_sciadicus_NA_BW_1_R1	18.181818181818183	26751294.0	49.0	100.0
F_sciadicus_NA_BW_1_R2	27.27272727272727	26751294.0	49.0	100.0
F_sciadicus_NA_BW_2_R1	18.181818181818183	9485042.0	48.0	100.0
F_sciadicus_NA_BW_2_R2	27.27272727272727	9485042.0	49.0	100.0
F_sciadicus_NA_FW_1_R1	27.27272727272727	7726019.0	48.0	100.0
F_sciadicus_NA_FW_1_R2	36.36363636363637	7726019.0	48.0	100.0
F_sciadicus_NA_FW_2_R1	18.181818181818183	5886392.0	50.0	100.0
F_sciadicus_NA_FW_2_R2	27.27272727272727	5886392.0	50.0	100.0
F_sciadicus_NA_transfer_1_R1	27.27272727272727	10812137.0	49.0	100.0
F_sciadicus_NA_transfer_1_R2	36.36363636363637	10812137.0	49.0	100.0
F_similis_NA_BW_1_R1	27.27272727272727	15041589.0	50.0	100.0
F_similis_NA_BW_1_R2	36.36363636363637	15041589.0	50.0	100.0
F_similis_NA_BW_2_R1	27.27272727272727	10821719.0	49.0	100.0
F_similis_NA_BW_2_R2	36.36363636363637	10821719.0	49.0	100.0
F_similis_NA_BW_3_R1	27.27272727272727	10009516.0	50.0	100.0
F_similis_NA_BW_3_R2	27.27272727272727	10009516.0	50.0	100.0
F_similis_NA_FW_1_R1	54.54545454545454	17019396.0	46.0	100.0
F_similis_NA_FW_1_R2	63.63636363636363	17019396.0	46.0	100.0
F_similis_NA_FW_2_R1	27.27272727272727	9368030.0	49.0	100.0
F_similis_NA_FW_2_R2	36.36363636363637	9368030.0	50.0	100.0
F_similis_NA_FW_3_R1	36.36363636363637	10089242.0	50.0	100.0
F_similis_NA_FW_3_R2	36.36363636363637	10089242.0	51.0	100.0
F_similis_NA_transfer_1_R1	27.27272727272727	14555376.0	49.0	100.0
F_similis_NA_transfer_1_R2	36.36363636363637	14555376.0	49.0	100.0
F_similis_NA_transfer_2_R1	27.27272727272727	6900428.0	51.0	100.0
F_similis_NA_transfer_2_R2	36.36363636363637	6900428.0	51.0	100.0
F_similis_NA_transfer_3_R1	27.27272727272727	10308803.0	50.0	100.0
F_similis_NA_transfer_3_R2	36.36363636363637	10308803.0	50.0	100.0
F_zebrinus_NA_BW_1_R1	36.36363636363637	12031830.0	47.0	100.0
F_zebrinus_NA_BW_1_R2	54.54545454545454	12031830.0	47.0	100.0
F_zebrinus_NA_BW_2_R1	18.181818181818183	8977854.0	48.0	100.0
F_zebrinus_NA_BW_2_R2	36.36363636363637	8977854.0	49.0	100.0
F_zebrinus_NA_FW_1_R1	18.181818181818183	14763674.0	48.0	100.0
F_zebrinus_NA_FW_1_R2	27.27272727272727	14763674.0	48.0	100.0
F_zebrinus_NA_FW_2_R1	18.181818181818183	13600787.0	49.0	100.0
F_zebrinus_NA_FW_2_R2	18.181818181818183	13600787.0	49.0	100.0
L_goodei_NA_BW_1_R1	18.181818181818183	10362426.0	51.0	100.0
L_goodei_NA_BW_1_R2	27.27272727272727	10362426.0	51.0	100.0
L_goodei_NA_BW_2_R1	18.181818181818183	14108284.0	49.0	100.0
L_goodei_NA_BW_2_R2	27.27272727272727	14108284.0	49.0	100.0
L_goodei_NA_BW_3_R1	18.181818181818183	13495232.0	50.0	100.0
L_goodei_NA_BW_3_R2	36.36363636363637	13495232.0	50.0	100.0
L_goodei_NA_FW_1_R1	27.27272727272727	22802376.0	50.0	100.0
L_goodei_NA_FW_1_R2	36.36363636363637	22802376.0	50.0	100.0
L_goodei_NA_FW_2_R1	18.181818181818183	7021444.0	51.0	100.0
L_goodei_NA_FW_2_R2	27.27272727272727	7021444.0	51.0	100.0
L_goodei_NA_FW_3_R1	27.27272727272727	8110153.0	50.0	100.0
L_goodei_NA_FW_3_R2	36.36363636363637	8110153.0	50.0	100.0
L_goodei_NA_transfer_1_R1	18.181818181818183	9336735.0	50.0	100.0
L_goodei_NA_transfer_1_R2	27.27272727272727	9336735.0	50.0	100.0
L_goodei_NA_transfer_2_R1	27.27272727272727	13113333.0	51.0	100.0
L_goodei_NA_transfer_2_R2	36.36363636363637	13113333.0	51.0	100.0
L_goodei_NA_transfer_3_R1	18.181818181818183	11671843.0	51.0	100.0
L_goodei_NA_transfer_3_R2	36.36363636363637	11671843.0	51.0	100.0
L_parva_NA_BW_1_R1	27.27272727272727	13536496.0	50.0	100.0
L_parva_NA_BW_1_R2	27.27272727272727	13536496.0	50.0	100.0
L_parva_NA_BW_2_R1	27.27272727272727	10964790.0	49.0	100.0
L_parva_NA_BW_2_R2	27.27272727272727	10964790.0	49.0	100.0
L_parva_NA_BW_3_R1	36.36363636363637	15104578.0	50.0	100.0
L_parva_NA_BW_3_R2	36.36363636363637	15104578.0	50.0	100.0
L_parva_NA_FW_1_R1	27.27272727272727	10801489.0	49.0	100.0
L_parva_NA_FW_1_R2	27.27272727272727	10801489.0	49.0	100.0
L_parva_NA_FW_2_R1	36.36363636363637	18159750.0	50.0	100.0
L_parva_NA_FW_2_R2	36.36363636363637	18159750.0	50.0	100.0
L_parva_NA_FW_3_R1	18.181818181818183	12101746.0	49.0	100.0
L_parva_NA_FW_3_R2	18.181818181818183	12101746.0	49.0	100.0
L_parva_NA_transfer_1_R1	18.181818181818183	14723408.0	50.0	100.0
L_parva_NA_transfer_1_R2	27.27272727272727	14723408.0	50.0	100.0
L_parva_NA_transfer_2_R1	27.27272727272727	19686042.0	50.0	100.0
L_parva_NA_transfer_2_R2	27.27272727272727	19686042.0	50.0	100.0
L_parva_NA_transfer_3_R1	18.181818181818183	12882551.0	49.0	100.0
L_parva_NA_transfer_3_R2	18.181818181818183	12882551.0	49.0	100.0
