"","id","F_similis_NA_BW_1","F_similis_NA_BW_2","F_similis_NA_BW_3","F_similis_NA_FW_2","F_similis_NA_FW_3","F_similis_NA_transfer_1","F_similis_NA_transfer_2","F_similis_NA_transfer_3","baseMean.BW_FW","log2FoldChange.BW_FW","lfcSE.BW_FW","stat.BW_FW","pvalue.BW_FW","padj.BW_FW","baseMean.transfer_FW","log2FoldChange.transfer_FW","lfcSE.transfer_FW","stat.transfer_FW","pvalue.transfer_FW","padj.transfer_FW","baseMean.transfer_BW","log2FoldChange.transfer_BW","lfcSE.transfer_BW","stat.transfer_BW","pvalue.transfer_BW","padj.transfer_BW","gene","NA","NA.1","NA.2","NA.3","NA.4","NA.5"
"1","Funhe2EKm000006t1","15.9442266222562","17.6217578199137","8.37156095109337","6.93716402921234","21.8914041137883","7.87128023211679","11.8156723603012","4.82983963809205",11.9103632208467,-0.0589168788006726,0.595562307608681,-0.0989264734318688,0.921196649243036,1,11.9103632208467,-0.900094638806908,0.626017104041902,-1.43781157574675,0.150487524007833,1,11.9103632208467,-0.841177760006235,0.565733784069274,-1.48687913589978,0.137046735671825,0.998315929808848,"HMG","box","domain","containing","(100%P)","",""
"2","Funhe2EKm000010t1","15.2194890485172","23.4956770932182","7.17562367236575","18.4991040778996","10.5078739746184","18.1644928433464","5.90783618015062","15.4554868418946",14.3031979665013,0.113341703368629,0.582965867359862,0.19442253777555,0.845845044017463,1,14.3031979665013,-0.0512406425740452,0.58812276450464,-0.0871257595634881,0.930571550066777,1,14.3031979665013,-0.164582345942674,0.520112701488627,-0.316435929120015,0.751671649431754,0.998315929808848,"CD74","molecule,","major","histocompatibility","complex,","class","II"
"3","Funhe2EKm000012t1","12.3205387535616","7.83189236440607","20.3309337383696","6.93716402921234","7.00524931641225","10.8986957060079","7.38479522518828","3.86387171047364",9.57164260545396,0.931474816242589,0.671455116691887,1.38724807226395,0.165366131383975,1,9.57164260545396,0.129496239455123,0.698680251672066,0.185344067111122,0.852959176187344,1,9.57164260545396,-0.801978576787465,0.580990040498681,-1.38036544671076,0.167474153410505,0.998315929808848,"N-deacetylase/N-sulfotransferase","(heparan","glucosaminyl)","1","(100%P)","",""
"4","Funhe2EKm000014t1","4.3484254424335","7.83189236440607","11.9593727872762","5.78097002434362","14.0104986328245","7.26579713733858","8.86175427022593","10.6256472038025",8.83554473283137,-0.383128305469517,0.667982226312632,-0.573560628378462,0.566265160906524,1,8.83554473283137,-0.199405012288351,0.661151603851198,-0.30160255397827,0.762955060817864,1,8.83554473283137,0.183723293181167,0.605589174345591,0.303379421172284,0.761600726656984,0.998315929808848,"Myozenin-2","(98%P)","","","","",""
"5","Funhe2EKm000019t1","22.4668647859064","15.6637847288121","26.3106201320077","16.1867160681621","14.0104986328245","15.7425604642336","7.38479522518828","10.6256472038025",16.0489359051172,0.509401548683498,0.511382321724467,0.996126629809397,0.319188622522497,1,16.0489359051172,-0.346925333822453,0.535489212720366,-0.647866148526166,0.517071526986264,1,16.0489359051172,-0.856326882505951,0.464488743716848,-1.84359017110642,0.0652428895254834,0.998315929808848,"Regulator","of","G-protein","signaling","(90%P)","",""
"6","Funhe2EKm000033t1","9.42158845860591","1.95797309110152","9.567498229821","6.93716402921234","12.2591863037214","6.66031404256036","8.86175427022593","5.79580756571046",7.68266074886987,-0.473825802371304,0.706482257986807,-0.670683229500367,0.502422348665043,1,7.68266074886987,-0.483448329419494,0.707649935383605,-0.683174413288719,0.494496638637608,1,7.68266074886987,-0.00962252704819076,0.653776766643841,-0.0147183680105182,0.988256865392297,0.998315929808848,"Monooxygenase","p33MONOX","(100%P)","","","",""
"7","Funhe2EKm000034t1","6.52263816365025","13.7058116377106","2.39187455745525","9.24955203894979","14.0104986328245","7.87128023211679","4.43087713511297","1.93193585523682",7.51430853163212,-0.618969477632539,0.725859250006424,-0.852740359273594,0.393803304265427,1,7.51430853163212,-1.23084682608802,0.756919212304381,-1.62612707681286,0.103922625044288,1,7.51430853163212,-0.611877348455477,0.70681877938885,-0.865677831854633,0.3866668600837,0.998315929808848,"Glutamine-fructose-6-phosphate","transaminase","2","(100%P)","","",""
"8","Funhe2EKm000039t1","4.3484254424335","6.85290581885531","11.9593727872762","10.4057460438185","8.75656164551531","7.87128023211679","14.7695904503766","8.69371134856569",9.20719922111974,-0.360895654012598,0.659778795791357,-0.546994926655274,0.584382217602895,1,9.20719922111974,0.0735605952145385,0.642951651546059,0.114410772625986,0.908912174750977,1,9.20719922111974,0.434456249227137,0.587042867664402,0.740075849921585,0.459253971514478,0.998315929808848,"RasGEF","domain","family,","member","1C","(100%P)",""
"9","Funhe2EKm000045t1","8.69685088486699","11.7478385466091","10.7634355085486","8.09335803408107","4.37828082275766","10.8986957060079","14.7695904503766","16.421454769513",10.7211880903451,0.762277550083182,0.654012481240716,1.16553975948147,0.24380057599963,1,10.7211880903451,1.18337190535005,0.642255085763279,1.84252632883971,0.0653981989349557,1,10.7211880903451,0.421094355266868,0.515785864477237,0.816413136280224,0.41426388594618,0.998315929808848,"Collagen","alpha-1(XXIII)","chain","(100%M)","","",""
"10","Funhe2EKm000048t1","13.0452763273005","12.7268250921599","7.17562367236575","18.4991040778996","14.0104986328245","18.7699759381247","32.4930989908284","10.6256472038025",15.9182562419132,-0.529490771028608,0.560568126425041,-0.944560966042387,0.344883062981625,1,15.9182562419132,0.308984568817991,0.537801529667196,0.574532707278088,0.565607374146325,1,15.9182562419132,0.838475339846598,0.49500694357425,1.69386581487585,0.0902907842239872,0.998315929808848,"Alanine-glyoxylate","aminotransferase","2","2","(100%P)","",""
